nome,speakers,val,difficolta,link_learn
Sinhala,17 milioni,17,4,https://ling-app.com/learn-sinhala/
Khmer,16 milioni,16,4,https://ling-app.com/learn-khmer/
Greco,14 milioni,14,4,https://www.duolingo.com/course/el/en/
Kazako,13 milioni,13,4,https://ling-app.com/learn-kazakh/
Ungherese,13 milioni,13,5,https://www.duolingo.com/course/hu/en/
Zulu,12 milioni,12,4,https://www.duolingo.com/course/zu/en/
Ceco,11 milioni,11,4,https://www.duolingo.com/course/cs/en/
Kirundi,11 milioni,11,4,https://ling-app.com/learn-kirundi/
Svedese,10 milioni,10,2,https://www.duolingo.com/course/sv/en/
Serbo,10 milioni,10,3,https://ling-app.com/learn-serbian/
Bulgaro,9 milioni,9,4,https://ling-app.com/learn-bulgarian/
Catalano,9 milioni,9,2,https://www.duolingo.com/course/ca/es/
Ebraico,9 milioni,9,4,https://www.duolingo.com/course/he/en/
Quechua,8 milioni,8,4,https://www.clic.edu/en/learn-quechua/
Xhosa,8 milioni,8,4,https://ling-app.com/learn-xhosa/
Santali,7.6 milioni,7,4,https://ling-app.com/learn-santali/
Tigrino,7 milioni,7,5,https://ling-app.com/learn-tigrinya/
Turkmeno,7 milioni,7,3,https://ling-app.com/learn-turkmen/
Albanese,6 milioni,6,4,https://ling-app.com/learn-albanian/
Armeno,6 milioni,6,4,https://ling-app.com/learn-armenian/
Finlandese,6 milioni,6,5,https://www.duolingo.com/course/fi/en/
Danese,6 milioni,6,2,https://www.duolingo.com/course/da/en/
Sesotho,6 milioni,6,4,https://ling-app.com/learn-southern-sotho/
Bielorusso,5 milioni,5,4,https://ling-app.com/learn-belarusian/
Slovacco,5 milioni,5,3,https://ling-app.com/learn-slovak/
Kirghiso,5 milioni,5,4,https://ling-app.com/learn-kyrgyz/
Wolof,5 milioni,5,3,https://ling-app.com/learn-wolof/
Tsonga,5 milioni,5,4,https://ling-app.com/learn-tsonga/
Georgiano,4 milioni,4,5,https://ling-app.com/learn-georgian/
Tok Pisin,4 milioni,4,2,https://ling-app.com/learn-tok-pisin/
Lituano,3 milioni,3,4,https://ling-app.com/learn-lithuanian/
Aymara,2.8 milioni,2,4,https://ling-app.com/learn-aymara/
Dogri,2.6 milioni,2,4,https://ling-app.com/learn-dogri/
Sloveno,2.5 milioni,2,3,https://ling-app.com/learn-slovenian/
Konkani,2.5 milioni,2,4,https://ling-app.com/learn-konkani/
Galiziano,2.4 milioni,2,2,https://www.duolingo.com/course/gl/es/
Lettone,2 milioni,2,4,https://ling-app.com/learn-latvian/
Macedone,2 milioni,2,3,https://ling-app.com/learn-macedonian/
Ndebele,2 milioni,2,4,https://ling-app.com/learn-ndebele/
Manipuri,1.8 milioni,1,5,https://ling-app.com/learn-manipuri/
Bodo,1.4 milioni,1,4,https://ling-app.com/learn-bodo/
Venda,1.3 milioni,1,4,https://ling-app.com/learn-venda/
Estone,1.1 milioni,1,5,https://ling-app.com/learn-estonian/
Sardo,1 milione,1,3,https://www.limbasarda.it/
Gallese,900 mila,1,4,https://www.duolingo.com/course/cy/en/
Tetum,800 mila,1,2,https://ling-app.com/learn-tetum/
Basco,700 mila,1,5,https://ling-app.com/learn-basque/
Friulano,600 mila,1,3,https://www.claap.org/
Osseto,500 mila,1,5,https://ling-app.com/learn-ossetian/
Maltese,500 mila,1,4,https://ling-app.com/learn-maltese/
Occitano,500 mila,1,2,https://www.locongres.org/
Islandese,400 mila,1,4,https://ling-app.com/learn-icelandic/
Lussemburghese,400 mila,1,3,https://ling-app.com/learn-luxembourgish/
Dzongkha,200 mila,1,5,https://ling-app.com/learn-dzongkha/
Abcaso,190 mila,1,5,https://ling-app.com/learn-abkhaz/
Bislama,100 mila,1,2,https://ling-app.com/learn-bislama/
Gaelico Scozzese,60 mila,1,4,https://www.duolingo.com/course/gd/en/
Francoprovenzale,60 mila,1,2,https://www.arpitan.eu/
Latino,30 mila,1,4,https://www.duolingo.com/course/la/en/
Ladino,30 mila,1,4,https://www.noeles.net/
Mirandese,10 mila,1,2,https://www.pueblos-espana.org/
